dimension,k,seed,significance_level,number_of_ot_points,number_of_monte_carlo_samples,hdr_log_volume,ot_log_volume,log_volume_ratio,log_volume_mc_standard_error,log_inclusion_fraction,log_bounding_box_volume,number_inside,number_of_source_region_points,mean_squared_transport_cost,ot_backend,regularization,solver_converged,sinkhorn_compute_backend
2,1.0,0,0.1,100,10000,2.6719095116573017,2.811687424443111,-0.1397779127858092,0.007444750389491094,-0.44098866417721183,3.2526760886203228,6434,89,0.5740137556342193,lazy_exact,,True,
2,1.0,1,0.1,100,10000,2.6719095116573017,2.5196608752607856,0.1522486363965161,0.0025510028017416125,-0.0630463017176357,2.5827071769784213,9389,90,0.5972168217779504,lazy_exact,,True,
2,1.0,2,0.1,100,10000,2.6719095116573017,2.9549985093419995,-0.28308899768469775,0.004659799277722809,-0.19650162036778873,3.151500129709788,8216,92,0.4889699736526482,lazy_exact,,True,
2,1.0,3,0.1,100,10000,2.6719095116573017,2.9292671113943074,-0.25735759973700567,0.00520548769915655,-0.23978119246723395,3.1690483038615413,7868,93,0.6751713896518672,lazy_exact,,True,
2,1.0,4,0.1,100,10000,2.6719095116573017,2.673381882335637,-0.0014723706783352775,0.002453987079619223,-0.058476929758976226,2.7318588120946132,9432,91,0.40694808486225736,lazy_exact,,True,
2,1.0,5,0.1,100,10000,2.6719095116573017,2.5748856667680844,0.09702384488921734,0.00640343252564959,-0.3436177047820852,2.9185033715501696,7092,85,0.6228603266718423,lazy_exact,,True,
2,1.0,6,0.1,100,10000,2.6719095116573017,2.7114171548997565,-0.039507643242454815,0.003836452320890006,-0.13730995096460674,2.8487271058643633,8717,91,0.5319638602263776,lazy_exact,,True,
2,1.0,7,0.1,100,10000,2.6719095116573017,2.4369963131927475,0.23491319846455427,0.004659799277722809,-0.19650162036778873,2.633497933560536,8216,88,0.44044850434233834,lazy_exact,,True,
2,1.0,8,0.1,100,10000,2.6719095116573017,2.7284702793031617,-0.05656076764585993,0.0032868410517886307,-0.10258658877510207,2.8310568680782637,9025,92,0.5517340696457123,lazy_exact,,True,
2,1.0,9,0.1,100,10000,2.6719095116573017,2.334491222252492,0.3374182894048099,0.005115373414307324,-0.23243659822580298,2.566927820478295,7926,88,0.4519977365891602,lazy_exact,,True,
4,1.0,0,0.1,100,10000,5.699281390810998,6.111375432710358,-0.41209404189936016,0.003886037716548606,-0.1406423298024677,6.252017762512826,8688,91,1.7513571668201797,lazy_exact,,True,
4,1.0,1,0.1,100,10000,5.699281390810998,6.267710178292194,-0.5684287874811957,0.003877510245136542,-0.14006698889711977,6.407777167189313,8693,90,1.9583369543886684,lazy_exact,,True,
4,1.0,2,0.1,100,10000,5.699281390810998,6.189373248397827,-0.4900918575868296,0.003359199294120329,-0.10691728234607822,6.296290530743906,8986,88,1.6044349305813728,lazy_exact,,True,
4,1.0,3,0.1,100,10000,5.699281390810998,6.223909878108859,-0.5246284872978615,0.004675687345937314,-0.1977194989740525,6.421629377082912,8206,86,1.9327750779428625,lazy_exact,,True,
4,1.0,4,0.1,100,10000,5.699281390810998,5.974699133132348,-0.2754177423213502,0.00358703459082237,-0.12103832837705752,6.0957374615094055,8860,91,1.7756268802876116,lazy_exact,,True,
4,1.0,5,0.1,100,10000,5.699281390810998,6.077303678615857,-0.3780222878048596,0.0046056618647183824,-0.1923718926474578,6.269675571263315,8250,85,1.861679208303014,lazy_exact,,True,
4,1.0,6,0.1,100,10000,5.699281390810998,6.115893371095723,-0.416611980284725,0.002584191490235107,-0.06464519349353282,6.180538564589256,9374,92,1.8179818280361095,lazy_exact,,True,
4,1.0,7,0.1,100,10000,5.699281390810998,5.738021939485307,-0.038740548674309316,0.0032943065100088527,-0.10302990031954451,5.841051839804852,9021,92,1.5457909302163986,lazy_exact,,True,
4,1.0,8,0.1,100,10000,5.699281390810998,5.99254437295832,-0.29326298214732205,0.0038450234971059154,-0.13788370736338784,6.130428080321708,8712,87,1.6421805954567454,lazy_exact,,True,
4,1.0,9,0.1,100,10000,5.699281390810998,6.104223045023524,-0.4049416542125259,0.002356276120134709,-0.05403388849248714,6.158256933516011,9474,96,1.826774246330851,lazy_exact,,True,
8,1.0,0,0.1,100,10000,11.770395261149256,12.370181309720808,-0.599786048571552,0.004012924666552619,-0.14931240318700922,12.519493712907817,8613,86,4.828751024133827,lazy_exact,,True,
8,1.0,1,0.1,100,10000,11.770395261149256,12.502059231357222,-0.7316639702079666,0.00411481614173245,-0.15641991927130228,12.658479150628525,8552,87,4.9135499651261245,lazy_exact,,True,
8,1.0,2,0.1,100,10000,11.770395261149256,12.240766005918827,-0.4703707447695713,0.003377602647365993,-0.10803074421370518,12.348796750132532,8976,89,4.786266038602259,lazy_exact,,True,
8,1.0,3,0.1,100,10000,11.770395261149256,12.367328667772545,-0.5969334066232896,0.0038587181657064487,-0.13880240288045975,12.506131070653005,8704,91,5.190358484633098,lazy_exact,,True,
8,1.0,4,0.1,100,10000,11.770395261149256,12.831341426588347,-1.0609461654390913,0.002334922102630113,-0.05308437109245645,12.884425797680803,9483,93,5.433369095400804,lazy_exact,,True,
8,1.0,5,0.1,100,10000,11.770395261149256,12.560101764112103,-0.7897065029628472,0.0043220684097129685,-0.171262929437221,12.731364693549324,8426,87,5.759635212583925,lazy_exact,,True,
8,1.0,6,0.1,100,10000,11.770395261149256,11.800639665394293,-0.03024440424503716,0.003715438587389856,-0.1293117364803411,11.929951401874634,8787,85,5.105730168865619,lazy_exact,,True,
8,1.0,7,0.1,100,10000,11.770395261149256,11.787041009043607,-0.01664574789435136,0.002497209746413398,-0.060493380428964016,11.847534389472571,9413,90,4.706572103739188,lazy_exact,,True,
