dimension,k,seed,significance_level,number_of_ot_points,number_of_monte_carlo_samples,hdr_log_volume,ot_log_volume,log_volume_ratio,log_volume_mc_standard_error,log_inclusion_fraction,log_bounding_box_volume,number_inside,number_of_source_region_points,mean_squared_transport_cost
8,4.0,0,0.1,100,10000,16.622425525068873,17.11825624384597,-0.4958307187770963,0.004938985856550449,-0.21828039564822355,17.33653663949419,8039,86,58474.92724814544
8,4.0,1,0.1,100,10000,16.622425525068873,17.40299120363649,-0.7805656785676156,0.0033757649857723746,-0.1079193422194944,17.510910545855985,8977,87,39445.91391006282
8,4.0,2,0.1,100,10000,16.622425525068873,16.998591219691754,-0.3761656946228804,0.004791227279797322,-0.20665523380940876,17.205246453501164,8133,89,48245.13309812634
8,4.0,3,0.1,100,10000,16.622425525068873,17.27119548752703,-0.6487699624581573,0.003279365235764441,-0.10214347366870413,17.373338961195735,9029,91,60765.59699400749
8,4.0,4,0.1,100,10000,16.622425525068873,17.80493276951799,-1.1825072444491163,0.0029887224484114188,-0.08555788836164702,17.89049065787964,9180,93,50773.80248416451
8,4.0,5,0.1,100,10000,16.622425525068873,17.50171560476975,-0.8792900797008762,0.0033222110689799965,-0.10469407111466644,17.606409675884414,9006,87,49602.942038919835
8,4.0,6,0.1,100,10000,16.622425525068873,16.92118577142407,-0.29876024635519727,0.0049013586262872146,-0.21529939729116165,17.136485168715232,8063,85,50899.98838906961
8,4.0,7,0.1,100,10000,16.622425525068873,16.903352235934342,-0.2809267108654687,0.003340735814875705,-0.10580505889697811,17.009157294831322,8996,90,53518.20230658851
8,4.0,8,0.1,100,10000,16.622425525068873,16.907635893479956,-0.28521036841108227,0.002741408567366963,-0.07246317173371608,16.980099065213672,9301,91,67668.38478998364
8,4.0,9,0.1,100,10000,16.622425525068873,16.97731958946054,-0.35489406439166515,0.0020010397713205643,-0.039260713953304105,17.016580303413843,9615,94,52855.907238639134
